,url,date
144,https://ground.news/article/putin-signs-off-record-russian-defense-spending-as-top-eu-officials-visit-kyiv_4b8ab8,2024-12-01
145,https://ground.news/article/s-and-p-maintains-france-economy-rating-despite-fiscal-challenges,2024-12-01
146,https://ground.news/article/thousands-march-in-serbia-to-mark-1-month-since-a-roof-collapse-killed-15-people_cf613f,2024-12-01
147,https://ground.news/article/a-new-belgium-law-gives-sex-workers-contracts-benefits-and-safety-protection,2024-12-01
148,https://ground.news/article/serbia-rejects-responsibility-for-a-water-supply-explosion-in-kosovo-as-tensions-rise,2024-12-01
149,https://ground.news/article/putin-signs-off-record-russian-defense-spending-as-top-eu-officials-visit-kyiv_4b8ab8,2024-12-01
150,https://ground.news/article/s-and-p-maintains-france-economy-rating-despite-fiscal-challenges,2024-12-01
151,https://ground.news/article/putin-signs-off-record-russian-defense-spending-as-top-eu-officials-visit-kyiv_4b8ab8,2024-12-01
152,https://ground.news/article/s-and-p-maintains-france-economy-rating-despite-fiscal-challenges,2024-12-01
153,https://ground.news/article/the-second-biggest-government-loss-in-icelands-history,2024-12-01
154,https://ground.news/article/over-40-people-hospitalized-in-georgia-during-protests-over-suspension-of-eu-talks_f8b156,2024-12-01
155,https://ground.news/article/a-landmark-climate-change-case-will-open-at-the-top-un-court-as-island-nations-fear-rising-seas_8e0739,2024-12-01
156,https://ground.news/article/the-second-biggest-government-loss-in-icelands-history,2024-12-01
157,https://ground.news/article/over-40-people-hospitalized-in-georgia-during-protests-over-suspension-of-eu-talks_f8b156,2024-12-01
158,https://ground.news/article/a-landmark-climate-change-case-will-open-at-the-top-un-court-as-island-nations-fear-rising-seas_8e0739,2024-12-01
159,https://ground.news/article/romanians-cast-ballots-in-parliamentary-election-as-turmoil-in-presidential-race-grips-the-nation_ed94a8,2024-12-01
160,https://ground.news/article/a-positive-day-for-us-social-democrats-look-set-to-make-gains-in-dail,2024-12-01
161,https://ground.news/article/the-second-biggest-government-loss-in-icelands-history,2024-12-01
162,https://ground.news/article/over-40-people-hospitalized-in-georgia-during-protests-over-suspension-of-eu-talks_f8b156,2024-12-01
